Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,4.650000,5.242500,4.640000,5.165000,4.337897,161517600
2017-10-01,5.162500,5.170000,4.647500,4.672500,4.002915,152454800
2017-11-01,4.667500,4.922500,3.962500,4.687500,4.015765,427797200
2017-12-01,4.682500,4.965000,4.485000,4.487500,3.920752,231505200
2018-01-01,4.490000,5.077500,4.152500,4.202500,3.671746,359098000
2018-02-01,4.175000,4.252500,3.775000,3.922500,3.427108,260966000
2018-03-01,3.947500,4.057500,3.050000,3.155000,2.756540,413121600
2018-04-01,3.127500,3.545000,3.125000,3.412500,3.054192,377341600
2018-05-01,3.395000,3.472500,3.065000,3.300000,2.953505,394070800
2018-06-01,3.200000,3.995000,3.175000,3.642500,3.260042,619957200
2018-07-01,3.647500,3.907500,3.500000,3.602500,3.310830,208422000
2018-08-01,3.605000,4.317500,3.295000,3.317500,3.048904,337704000
2018-09-01,3.292500,4.260000,3.270000,3.817500,3.508423,300573200
2018-10-01,3.820000,3.900000,3.410000,3.650000,3.432163,209202800
2018-11-01,3.652500,3.940000,3.035000,3.415000,3.211188,338289200
2018-12-01,3.455000,3.527500,2.890000,3.155000,2.966705,200638000
2019-01-01,3.112500,4.225000,2.775000,2.835000,2.741969,428926800
2019-02-01,2.827500,2.982500,2.750000,2.925000,2.829015,218825600
2019-03-01,2.970000,3.025000,2.517500,2.540000,2.456649,268835200
2019-04-01,2.572500,2.605000,2.132500,2.162500,2.162500,458060000
2019-05-01,2.165000,2.247500,1.830000,1.895000,1.895000,269686800
2019-06-01,1.895000,1.962500,1.177500,1.367500,1.367500,681215600
2019-07-01,1.382500,1.410000,0.975000,1.005000,1.005000,619928800
2019-08-01,1.005000,1.090000,0.787500,0.992500,0.992500,603640000
2019-09-01,0.992500,1.410000,0.915000,1.380000,1.380000,837567600
2019-10-01,1.410000,1.655000,1.240000,1.360000,1.360000,420686800
2019-11-01,1.362500,1.597500,1.337500,1.585000,1.585000,227702800
2019-12-01,1.587500,1.730000,1.295000,1.520000,1.520000,484055200
2020-01-01,1.535000,1.617500,0.957500,0.960000,0.960000,324282000
2020-02-01,0.970000,1.127500,0.795000,0.900000,0.900000,223157600
2020-03-01,0.900000,1.272500,0.847500,0.875000,0.875000,401905600
2020-04-01,0.862500,1.617500,0.642500,1.432500,1.432500,398940800
2020-05-01,1.412500,1.545000,0.990000,1.015000,1.015000,214030400
2020-06-01,1.030000,1.382500,1.005000,1.085000,1.085000,401126800
2020-07-01,1.077500,1.137500,0.942500,1.002500,1.002500,221976400
2020-08-01,1.007500,1.787500,1.000000,1.670000,1.670000,469057600
2020-09-01,1.825000,2.792500,1.467500,2.550000,2.550000,1019247200
2020-10-01,2.522500,3.967500,2.275000,2.617500,2.617500,1439425200
2020-11-01,2.705000,4.855000,2.625000,4.140000,4.140000,645963200
2020-12-01,4.277500,5.587500,3.035000,4.710000,4.710000,1005146400
2021-01-01,4.750000,120.750000,4.270000,81.250000,81.250000,5046059200
2021-02-01,79.139999,80.500000,9.625000,25.434999,25.434999,3309952000
2021-03-01,26.135000,87.125000,24.992500,47.455002,47.455002,2718499600
2021-04-01,48.340000,49.242500,33.000000,43.397499,43.397499,689661600
2021-05-01,44.372501,67.199997,34.125000,55.500000,55.500000,549800400
2021-06-01,58.369999,86.165001,49.250000,53.535000,53.535000,740087600
2021-07-01,53.349998,54.207500,39.502499,40.279999,40.279999,216053600
2021-08-01,40.500000,56.750000,36.305000,54.560001,54.560001,328216000
2021-09-01,56.000000,57.860001,41.697498,43.867500,43.867500,253960400
2021-10-01,44.849998,48.044998,41.452499,45.877499,45.877499,143270000
2021-11-01,45.632500,63.922501,45.512501,49.052502,49.052502,213188400
2021-12-01,49.849998,50.027500,32.375000,37.097500,37.097500,237976000
2022-01-01,37.307499,40.077499,21.572500,27.232500,27.232500,338492800
2022-02-01,28.252501,33.212502,23.770000,30.834999,30.834999,185137200
2022-03-01,30.547501,49.852501,19.395000,41.645000,41.645000,636574800
2022-04-01,47.224998,47.442501,30.125000,31.267500,31.267500,231608400
2022-05-01,30.912500,37.115002,19.442499,31.184999,31.184999,368167600
2022-06-01,30.705000,38.250000,28.575001,30.575001,30.575001,278615200
2022-07-01,30.282499,40.407501,28.342501,34.009998,34.009998,211801300
2022-08-01,33.799999,47.990002,33.770000,37.930000,37.930000,114686100
